parent,child,parent_gidx,child_gidx,parent_name,child_name,pair_type,parent_layer,child_layer,layer_gap,gidx_gap,rho_i,rho_o,rho
5_v,6_gate,37,47,v,gate,v->gate,5,6,1,10,0.9113509207995998,0.610610309908974,0.5564802681852725
4_up,5_v,32,37,up,v,up->v,4,5,1,5,0.9147090971023284,0.6068165120604323,0.5550605838535821
8_v,8_down,58,62,v,down,v->down,8,8,0,4,0.973033518620996,0.5637831934643298,0.5485799444759786
12_up,13_v,88,93,up,v,up->v,12,13,1,5,0.9110773636737614,0.6019013810764005,0.5483787234626829
11_v,12_gate,79,89,v,gate,v->gate,11,12,1,10,0.884721833568909,0.6157639882885061,0.5447798447643113
7_v,8_down,51,62,v,down,v->down,7,8,1,11,0.9563743128422179,0.5685742252556515,0.54376978397867
8_gate,8_down,61,62,gate,down,gate->down,8,8,0,1,0.9731782674099253,0.5523266581394747,0.5375123002124881
10_up,11_v,74,79,up,v,up->v,10,11,1,5,0.8963697841340097,0.5973776219949598,0.5354712500741101
6_o,6_gate,45,47,o,gate,o->gate,6,6,0,2,0.9136360176314495,0.5856375266321181,0.5350595376077003
4_o,5_up,31,39,o,up,o->up,4,5,1,8,0.863401348877617,0.6134828633665106,0.5296819317439481
5_up,6_o,39,45,up,o,up->o,5,6,1,6,0.9133062623252355,0.5793582094856147,0.5291314808527475
9_v,10_up,65,74,v,up,v->up,9,10,1,9,0.9549153128858808,0.5497912445670597,0.5250040783276717
0_v,0_o,2,3,v,o,v->o,0,0,0,1,0.8141447168727266,0.6408806340169866,0.521769582330973
0_down,1_gate,6,12,down,gate,down->gate,0,1,1,6,0.8887996775868284,0.5845401098469607,0.519539061168548
7_o,8_gate,52,61,o,gate,o->gate,7,8,1,9,0.8860985107942245,0.5854857179945151,0.5187980228062271
15_o,15_down,108,111,o,down,o->down,15,15,0,3,0.9784503334641825,0.5299403632907279,0.5185203251779428
11_v,12_o,79,87,v,o,v->o,11,12,1,8,0.838281807222848,0.6178911098130346,0.5179668762010019
3_v,3_down,23,27,v,down,v->down,3,3,0,4,0.9392118694958141,0.5492306723303578,0.5158439665438384
5_down,6_up,41,46,down,up,down->up,5,6,1,5,0.9378885430338915,0.5499246099917808,0.5157679912436723
7_v,7_down,51,55,v,down,v->down,7,7,0,4,0.9498894325188426,0.5425458893502972,0.5153586069503846
14_o,15_down,101,111,o,down,o->down,14,15,1,10,0.9066586770391767,0.5675252130203796,0.5145516588234343
5_o,6_up,38,46,o,up,o->up,5,6,1,8,0.7801283045035127,0.6576713058077779,0.5130680007204329
6_up,6_down,46,48,up,down,up->down,6,6,0,2,0.9239429459682571,0.5539802995174875,0.5118461899445649
3_down,4_v,27,30,down,v,down->v,3,4,1,3,0.9105233523428753,0.561196171035523,0.51098221897325
11_v,11_up,79,81,v,up,v->up,11,11,0,2,0.895901115830608,0.5660217028958403,0.5070994752087242
13_up,14_v,95,100,up,v,up->v,13,14,1,5,0.9432724302176823,0.5338075495588159,0.5035259445408902
11_v,12_up,79,88,v,up,v->up,11,12,1,9,0.8960222312900318,0.5606303845803239,0.5023372881206505
2_gate,2_down,19,20,gate,down,gate->down,2,2,0,1,0.8488447263672605,0.5903838720748295,0.5011442363430023
2_v,3_down,16,27,v,down,v->down,2,3,1,11,0.9142003048463165,0.5466181992468436,0.49971852438600906
9_v,10_gate,65,75,v,gate,v->gate,9,10,1,10,0.9434286998056781,0.5239794814756406,0.49433728093341694
10_v,10_up,72,74,v,up,v->up,10,10,0,2,0.9135116944481778,0.5408867919744821,0.4941064098412482
5_v,6_o,37,45,v,o,v->o,5,6,1,8,0.8648438318401513,0.5713004396839249,0.4940856613882088
14_down,15_v,104,107,down,v,down->v,14,15,1,3,0.9278031616429222,0.5319401855236291,0.4935357859337457
6_gate,7_o,47,52,gate,o,gate->o,6,7,1,5,0.8356947639190497,0.5904346526102051,0.4934231476227115
1_v,1_gate,9,12,v,gate,v->gate,1,1,0,3,0.8845004287870717,0.5575266882636264,0.4931325948294136
10_gate,11_v,75,79,gate,v,gate->v,10,11,1,4,0.8846834395197822,0.5527822392182189,0.48903729269702095
7_up,8_down,53,62,up,down,up->down,7,8,1,9,0.9055989290143978,0.5398066437987944,0.4888483184990447
3_v,3_gate,23,26,v,gate,v->gate,3,3,0,3,0.9139448246367291,0.5337508951631693,0.48781886827959997
13_up,14_o,95,101,up,o,up->o,13,14,1,6,0.9287207470593554,0.5215842575539547,0.484406121329908
7_down,8_o,55,59,down,o,down->o,7,8,1,4,0.9397227140796729,0.5151067254015929,0.48405749003507764
12_v,12_gate,86,89,v,gate,v->gate,12,12,0,3,0.8802742238447531,0.5498887333484925,0.48405287794931867
12_o,13_v,87,93,o,v,o->v,12,13,1,6,0.755200907729638,0.6386223308314918,0.4822881639403598
13_down,14_o,97,101,down,o,down->o,13,14,1,4,0.949999615204839,0.5065190158473223,0.4811928701488899
7_o,7_up,52,53,o,up,o->up,7,7,0,1,0.8312617939302578,0.5777280775864612,0.48024327817840085
4_up,5_o,32,38,up,o,up->o,4,5,1,6,0.8257575329109779,0.5813689755593984,0.4800698109689114
5_gate,6_v,40,44,gate,v,gate->v,5,6,1,4,0.9531501138009482,0.5016951402161797,0.4781907799904343
14_down,15_o,104,108,down,o,down->o,14,15,1,4,0.8057108983033815,0.5930832561544528,0.4778536430848987
13_gate,14_v,96,100,gate,v,gate->v,13,14,1,4,0.9385524515377656,0.5078811700370934,0.4766731172281828
5_down,6_v,41,44,down,v,down->v,5,6,1,3,0.8731732224232573,0.5457424157662221,0.4765276637876452
8_up,9_down,60,69,up,down,up->down,8,9,1,9,0.9586278448637083,0.4956959528119478,0.47518794295177996
13_v,13_up,93,95,v,up,v->up,13,13,0,2,0.9005172831343251,0.5264218506912149,0.47405197476699623
11_v,11_o,79,80,v,o,v->o,11,11,0,1,0.8461910821581328,0.55985927550636,0.473747926196995
13_gate,14_o,96,101,gate,o,gate->o,13,14,1,5,0.9323838879014946,0.5054994651631843,0.47131955666097597
10_v,11_up,72,81,v,up,v->up,10,11,1,9,0.9122195080495917,0.5140437102661641,0.46892070049498713
8_v,9_gate,58,68,v,gate,v->gate,8,9,1,10,0.9510163974992616,0.4926241574049314,0.46849365149634703
0_up,1_v,4,9,up,v,up->v,0,1,1,5,0.8101934365527528,0.5779293915632664,0.46823459983548427
9_v,9_gate,65,68,v,gate,v->gate,9,9,0,3,0.9549848838566254,0.48983325596461846,0.46778335505648383
4_o,5_down,31,41,o,down,o->down,4,5,1,10,0.9030798417123369,0.517296072555949,0.46715965532223996
3_gate,4_v,26,30,gate,v,gate->v,3,4,1,4,0.8998663236341153,0.517135419945253,0.4653527491671192
13_v,13_gate,93,96,v,gate,v->gate,13,13,0,3,0.8961964338846256,0.5162362977996319,0.46264912912983164
6_down,7_o,48,52,down,o,down->o,6,7,1,4,0.9129828944933399,0.5057432208035095,0.4617349095995725
3_down,4_o,27,31,down,o,down->o,3,4,1,4,0.8972143940510333,0.514592950532786,0.4617002022952069
6_o,7_v,45,51,o,v,o->v,6,7,1,6,0.7722496918256392,0.5972077899123438,0.46119353171567856
7_gate,8_down,54,62,gate,down,gate->down,7,8,1,8,0.8842734215354934,0.5203724877455507,0.4601515602116947
6_o,7_down,45,55,o,down,o->down,6,7,1,10,0.9218083340855774,0.498569645601552,0.45958565443760335
5_down,6_gate,41,47,down,gate,down->gate,5,6,1,6,0.9132143825549882,0.5032305657096316,0.4595573903473187
3_v,4_gate,23,33,v,gate,v->gate,3,4,1,10,0.9237401725279919,0.49741407811817634,0.45948136633873626
6_up,7_down,46,55,up,down,up->down,6,7,1,9,0.8348296541684882,0.5502015897509578,0.4593246028947445
4_v,4_gate,30,33,v,gate,v->gate,4,4,0,3,0.9095534725023622,0.5048868613644253,0.45922159797483175
4_v,5_gate,30,40,v,gate,v->gate,4,5,1,10,0.9180091855678706,0.49989188940542884,0.45890534626506174
2_v,3_gate,16,26,v,gate,v->gate,2,3,1,10,0.8575081242847504,0.5344976112013119,0.45833604401591677
11_up,12_v,81,86,up,v,up->v,11,12,1,5,0.8937040142941595,0.5118545165697481,0.45744643619298025
10_v,10_gate,72,75,v,gate,v->gate,10,10,0,3,0.9030901008412466,0.5046786829285065,0.45577032265833245
5_up,5_down,39,41,up,down,up->down,5,5,0,2,0.884878517582765,0.5123594752221853,0.45337589290409075
12_v,12_up,86,88,v,up,v->up,12,12,0,2,0.8919176218182634,0.5060395274355607,0.45134557185636315
2_o,3_gate,17,26,o,gate,o->gate,2,3,1,9,0.9077529309746353,0.4964563682376003,0.4506597233687045
7_v,8_o,51,59,v,o,v->o,7,8,1,8,0.777423882554083,0.578250106500574,0.4495454428829882
4_o,4_up,31,32,o,up,o->up,4,4,0,1,0.7713516491130488,0.5811538849497297,0.44827400754442903
2_o,3_down,17,27,o,down,o->down,2,3,1,10,0.8882917336713074,0.5038240345304644,0.4475427250983389
12_o,12_gate,87,89,o,gate,o->gate,12,12,0,2,0.7369314672324389,0.6052369999339714,0.44601819038470103
12_down,13_v,90,93,down,v,down->v,12,13,1,3,0.9119569876133705,0.4878414177522486,0.44489038976637646
5_o,6_gate,38,47,o,gate,o->gate,5,6,1,9,0.7212876324493934,0.6094586547702371,0.4395949901750165
1_gate,2_v,12,16,gate,v,gate->v,1,2,1,4,0.8232904493662607,0.5318546041301273,0.4378708160318072
7_o,7_gate,52,54,o,gate,o->gate,7,7,0,2,0.7755753695362331,0.5634123855188218,0.43696876910005084
8_down,9_gate,62,68,down,gate,down->gate,8,9,1,6,0.9492402353047733,0.46015354765727573,0.43679626185451864
9_gate,10_v,68,72,gate,v,gate->v,9,10,1,4,0.9144957193267201,0.4776196426435647,0.43678111866389774
1_gate,2_o,12,17,gate,o,gate->o,1,2,1,5,0.8977119457125482,0.4859424893334194,0.4362363776039031
14_v,14_up,100,102,v,up,v->up,14,14,0,2,0.9585482627927854,0.45400260555447347,0.43518340885763873
9_v,9_up,65,67,v,up,v->up,9,9,0,2,0.9614862375612389,0.45233647369291236,0.4349152942027166
0_v,1_up,2,11,v,up,v->up,0,1,1,9,0.8888394923286543,0.48856551280707905,0.4342563223727328
5_v,5_gate,37,40,v,gate,v->gate,5,5,0,3,0.912316040366519,0.47559349448975763,0.43389157371697157
11_v,11_gate,79,82,v,gate,v->gate,11,11,0,3,0.881113577534618,0.49204479921218947,0.4335473533411551
12_o,12_up,87,88,o,up,o->up,12,12,0,1,0.7824177285991725,0.5525870366456934,0.43235389406567115
10_up,11_down,74,83,up,down,up->down,10,11,1,9,0.9550936467792326,0.45195596087139855,0.4316602668522762
10_v,11_o,72,80,v,o,v->o,10,11,1,8,0.8685752335058383,0.4967680507916858,0.43148042571462863
8_v,9_up,58,67,v,up,v->up,8,9,1,9,0.9578464079475466,0.44943789354107677,0.4304924719238322
14_v,14_gate,100,103,v,gate,v->gate,14,14,0,3,0.9542234557114724,0.4506254855108476,0.429997408015821
5_down,6_o,41,45,down,o,down->o,5,6,1,4,0.8736215085606509,0.4918814752849939,0.42971823647151486
4_gate,5_v,33,37,gate,v,gate->v,4,5,1,4,0.9036752573922812,0.47527564851222137,0.429494844001565
14_o,14_gate,101,103,o,gate,o->gate,14,14,0,2,0.9445132248802428,0.4540716064655633,0.4288766373493417
0_gate,1_v,5,9,gate,v,gate->v,0,1,1,4,0.7794341961029198,0.5473575852270801,0.4266292194223046
1_up,1_down,11,13,up,down,up->down,1,1,0,2,0.5126703433674653,0.8293400108863634,0.42517802814948935
13_v,13_down,93,97,v,down,v->down,13,13,0,4,0.8484394977355756,0.499796855976984,0.4240473934549321
12_gate,13_down,89,97,gate,down,gate->down,12,13,1,8,0.9201026313859108,0.460274130130042,0.4234994382915127
